dominant,non_dominant,n_letters
4.13,6.26,11
5.83,14.3,11
7.01,14.3,17
4.95,8.02,7
3.97,11.24,10
5.26,11.4,10
3.68,7.53,9
5.51,15.38,15
3.51,12.48,11
5.31,15.73,13
4.89,11.35,9
5.15,9.5,13
7.46,18.48,16
7.54,15.25,16
6.4,10.41,15
5,12.93,15
4.79,18.01,9
3.56,7.8,8
4.06,9.56,10
3.09,6.1,13
3.96,9.71,13
3,9.85,11
8.23,16.06,18
4.86,14.45,15
4.18,9.83,13
3.75,9.83,10
4.42,9.76,7
5.62,14.38,17
6.22,14.75,14
3.14,4.51,4
4.42,11.19,10
4.18,14.01,13
7.75,18.11,14
3.53,8.77,10
4.8,8.4,12
2.43,5.03,5
4.87,10.42,13
3.28,11.63,9
4.91,7.62,11
7.73,9.56,10
4.75,10.2,6
5.53,9.19,9
10.32,19,14
5.92,9.76,11
2.21,5.03,4
5.35,10.79,10
5.56,16.53,11
7.88,14.58,13
10,19,10
23.55,21.23,11
8.64,10.03,13
5.01,6.62,9
4.13,5.74,4
5.56,6.43,8
7.53,18.25,10
10.93,26.73,17
6.45,17.48,15
3.53,7.56,10
7.51,11.2,9
7,12,8
4.53,10.73,12
8.35,17.72,13
8.14,15.32,13
4.56,10.87,9
20,22,13
5.25,9.22,11
4.79,4.89,9
7.86,15.07,12
5.24,7.81,10
4.25,7.81,10
9.35,21.3,11
5.5,15.5,12
7.38,16.33,10
