name,url
Gandalf,https://en.wikipedia.org/wiki/Gandalf
Gimli,https://en.wikipedia.org/wiki/Gimli_(Middle-earth)
Frodo,https://en.wikipedia.org/wiki/Frodo_Baggins
Legolas,https://en.wikipedia.org/wiki/Legolas
Bilbo,https://en.wikipedia.org/wiki/Bilbo_Baggins
Sam,https://en.wikipedia.org/wiki/Samwise_Gamgee
Pippin,https://en.wikipedia.org/wiki/Peregrin_Took
Boromir,https://en.wikipedia.org/wiki/Boromir
Aragorn,https://en.wikipedia.org/wiki/Aragorn
Galadriel,https://en.wikipedia.org/wiki/Galadriel
Meriadoc,https://en.wikipedia.org/wiki/Meriadoc_Brandybuck
Lily,

